# Official FIFA World Cup 26 Annexe C: combinations for eight best third-placed teams.
# Source: https://digitalhub.fifa.com/m/636f5c9c6f29771f/original/FWC2026_regulations_EN.pdf
# Slots follow simulator Round-of-32 match order: 74, 77, 79, 80, 81, 82, 85, 87.
qualified_third_groups,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8
A-B-C-D-H-J-K-L,C,D,H,K,B,A,J,L
A-B-C-D-H-I-K-L,C,D,H,K,B,A,I,L
A-B-C-D-H-I-J-L,C,D,H,I,B,A,J,L
A-B-C-D-H-I-J-K,C,D,H,K,B,A,J,I
A-B-C-D-G-J-K-L,D,G,C,K,B,A,J,L
A-B-C-D-G-I-K-L,C,D,I,K,B,A,G,L
A-B-C-D-G-I-J-L,D,G,C,I,B,A,J,L
A-B-C-D-G-I-J-K,D,G,C,K,B,A,J,I
A-B-C-D-G-H-K-L,C,D,H,K,B,A,G,L
A-B-C-D-G-H-J-L,C,D,H,J,B,A,G,L
A-B-C-D-G-H-J-K,C,D,H,K,B,A,G,J
A-B-C-D-G-H-I-L,C,D,H,I,B,A,G,L
A-B-C-D-G-H-I-K,C,D,H,K,B,A,G,I
A-B-C-D-G-H-I-J,C,D,H,J,B,A,G,I
A-B-C-D-F-J-K-L,D,F,C,K,B,A,J,L
A-B-C-D-F-I-K-L,D,F,C,K,B,A,I,L
A-B-C-D-F-I-J-L,D,F,C,I,B,A,J,L
A-B-C-D-F-I-J-K,D,F,C,K,B,A,J,I
A-B-C-D-F-H-K-L,C,D,H,K,B,A,F,L
A-B-C-D-F-H-J-L,D,F,C,H,B,A,J,L
A-B-C-D-F-H-J-K,C,F,H,K,B,A,J,D
A-B-C-D-F-H-I-L,C,D,H,I,B,A,F,L
A-B-C-D-F-H-I-K,C,D,H,K,B,A,F,I
A-B-C-D-F-H-I-J,C,F,H,I,B,A,J,D
A-B-C-D-F-G-K-L,D,F,C,K,B,A,G,L
A-B-C-D-F-G-J-L,D,F,C,J,B,A,G,L
A-B-C-D-F-G-J-K,D,F,C,K,B,A,G,J
A-B-C-D-F-G-I-L,D,F,C,I,B,A,G,L
A-B-C-D-F-G-I-K,D,F,C,K,B,A,G,I
A-B-C-D-F-G-I-J,D,F,C,J,B,A,G,I
A-B-C-D-F-G-H-L,D,F,C,H,B,A,G,L
A-B-C-D-F-G-H-K,C,F,H,K,B,A,G,D
A-B-C-D-F-G-H-J,C,F,H,J,B,A,G,D
A-B-C-D-F-G-H-I,C,F,H,I,B,A,G,D
A-B-C-D-E-J-K-L,C,D,E,K,B,A,J,L
A-B-C-D-E-I-K-L,C,D,E,K,B,A,I,L
A-B-C-D-E-I-J-L,C,D,E,I,B,A,J,L
A-B-C-D-E-I-J-K,C,D,E,K,B,A,J,I
A-B-C-D-E-H-K-L,C,D,H,K,B,A,E,L
A-B-C-D-E-H-J-L,C,D,H,E,B,A,J,L
A-B-C-D-E-H-J-K,C,D,H,K,B,A,J,E
A-B-C-D-E-H-I-L,C,D,H,I,B,A,E,L
A-B-C-D-E-H-I-K,C,D,H,K,B,A,E,I
A-B-C-D-E-H-I-J,C,D,H,I,B,A,J,E
A-B-C-D-E-G-K-L,C,D,E,K,B,A,G,L
A-B-C-D-E-G-J-L,C,D,E,J,B,A,G,L
A-B-C-D-E-G-J-K,C,D,E,K,B,A,G,J
A-B-C-D-E-G-I-L,C,D,E,I,B,A,G,L
A-B-C-D-E-G-I-K,C,D,E,K,B,A,G,I
A-B-C-D-E-G-I-J,C,D,E,J,B,A,G,I
A-B-C-D-E-G-H-L,C,D,H,E,B,A,G,L
A-B-C-D-E-G-H-K,C,D,H,K,B,A,G,E
A-B-C-D-E-G-H-J,C,D,H,J,B,A,G,E
A-B-C-D-E-G-H-I,C,D,H,I,B,A,G,E
A-B-C-D-E-F-K-L,D,F,C,K,B,A,E,L
A-B-C-D-E-F-J-L,D,F,C,E,B,A,J,L
A-B-C-D-E-F-J-K,D,F,C,K,B,A,J,E
A-B-C-D-E-F-I-L,D,F,C,I,B,A,E,L
A-B-C-D-E-F-I-K,D,F,C,K,B,A,E,I
A-B-C-D-E-F-I-J,D,F,C,I,B,A,J,E
A-B-C-D-E-F-H-L,C,D,H,E,B,A,F,L
A-B-C-D-E-F-H-K,C,F,H,K,B,A,E,D
A-B-C-D-E-F-H-J,C,F,H,E,B,A,J,D
A-B-C-D-E-F-H-I,C,F,H,I,B,A,E,D
A-B-C-D-E-F-G-L,D,F,C,E,B,A,G,L
A-B-C-D-E-F-G-K,D,F,C,K,B,A,G,E
A-B-C-D-E-F-G-J,D,F,C,J,B,A,G,E
A-B-C-D-E-F-G-I,D,F,C,I,B,A,G,E
A-B-C-D-E-F-G-H,C,F,H,E,B,A,G,D
